00001-1.opus,1150410,あい,愛,,1
00002-1.opus,1401310,あいかわらず,相変わらず,,0
00003-1.opus,1150600,あいきょうしん,愛郷心,,3
00004-1.opus,1150740,あいこくしん,愛国心,,4
00005-1.opus,1150750,あいさい,愛妻,,0
00006-1.opus,1586070,あいしょう,相性,,3
00008-1.opus,1150860,あいじょう,愛情,,0
00009-1.opus,1150870,あいじん,愛人,,0
00010-1.opus,1150450,あいする,愛する,,3
00011-1.opus,1575660,あいそ,愛想,,3
00012-1.opus,1575670,あいぞう,愛憎,,0
00013-1.opus,1215230,あいだ,間,に,0
00014-1.opus,1400980,あいつぐ,相次ぐ,,1
00015-1.opus,1401000,あいて,相手,,3
00016-1.opus,1379210,あいにく,生憎,,0
00017-1.opus,1151030,あいびょうか,愛猫家,,
00018-1.opus,1401350,あいぼう,相棒,,0
00019-1.opus,1151090,あいよう,愛用,する,0
00020-1.opus,1198180,あう,会う,,1
00021-1.opus,1284430,あう,合う,,1
00022-1.opus,1212850,あえて,敢えて,,1
00023-1.opus,1381390,あおい,青い,,2
00024-1.opus,1750010,あおき,青木,,0
00025-1.opus,1381760,あおじろい,青白い,,4
00026-1.opus,1381600,あおしんごう,青信号,,3
00027-1.opus,1381470,あおぞら,青空,,3
00028-1.opus,1381580,あおだたみ,青畳,,3
00029-1.opus,1381510,あおな,青菜,,0
00030-1.opus,1383240,あかい,赤い,,0
00031-1.opus,1383630,あかげ,赤毛,,0
00032-1.opus,1383440,あかじ,赤字,,0
00033-1.opus,1383440,あかじ,赤字,,0
00034-1.opus,1518280,あかす,飽かす,,2
00035-1.opus,1383260,あかちゃん,赤ちゃん,,1
00036-1.opus,1383610,あかぼう,赤帽,,0
00037-1.opus,1532340,あからむ,明らむ,,3
00038-1.opus,1383290,あからめる,赤らめる,,4
00039-1.opus,1352290,あがる,上がる,,0
00041-1.opus,1532350,あかるい,明るい,,0
00042-1.opus,1383310,あかんぼう,赤ん坊,,0
00043-1.opus,1383310,あかんぼう,赤ん坊,,0
00044-1.opus,1332650,あき,秋,,1
00045-1.opus,1518300,あきあき,飽き飽き,する,3
00046-1.opus,1332720,あきかぜ,秋風,,
00048-1.opus,2859046,あきがっき,秋学期,,
00050-1.opus,1245320,あきかん,空き缶,,0
00051-1.opus,1586220,あきす,空き巣,,0
00052-1.opus,1621650,あきっぽい,飽きっぽい,,4
00053-1.opus,1346590,あきなう,商う,,3
00054-1.opus,1586240,あきびん,空き瓶,,0
00055-1.opus,1532310,あきらか,明らか,な,2
00056-1.opus,1586250,あきる,飽きる,,2
00058-1.opus,1586270,あく,開く,,0
00059-1.opus,1151800,あくじ,悪事,,1
00060-1.opus,1152730,あくしゅ,握手,する,1
00061-1.opus,1151980,あくじょうけん,悪条件,,3
00062-1.opus,2040990,あくとくしょうほう,悪徳商法,,5
00063-1.opus,1254010,あくび,欠伸,,0
00064-1.opus,1152510,あくま,悪魔,,1
00065-1.opus,1152530,あくむ,悪夢,,1
00066-1.opus,1532260,あくるひ,明くる日,,
00067-1.opus,1586300,あげくのはて,挙句の果て,,
00069-1.opus,1202450,あける,開ける,,0
00070-1.opus,1352320,あげる,上げる,,0
00071-1.opus,2864818,あげる,挙げる,,0
00072-1.opus,1428280,あさ,朝,,1
00073-1.opus,1390800,あさい,浅い,,
00074-1.opus,2256720,あさがた,朝型,,
00075-1.opus,1390840,あさぐろい,浅黒い,,
00076-1.opus,1586330,あさごはん,朝御飯,,3
00078-1.opus,1390850,あさせ,浅瀬,,0
00079-1.opus,1584640,あさって,明後日,,2
00080-1.opus,1584640,あさって,明後日,,2
00082-1.opus,1428410,あさねぼう,朝寝坊,,3
00083-1.opus,1609030,あさはか,浅はか,な,2
00084-1.opus,1428500,あさひ,朝日,,1
00086-1.opus,1428510,あさめしまえ,朝飯前,,5
00087-1.opus,1404630,あし,足,,2
00088-1.opus,1526960,あじ,味,,0
00089-1.opus,1404770,あしおと,足音,,
00090-1.opus,1151300,あしからず,悪しからず,,3
00091-1.opus,1404810,あしこし,足腰,,
00092-1.opus,1584660,あした,明日,,3
00092-2.opus,1584660,あす,明日,,2
00094-1.opus,1527010,あじわう,味わう,,
00095-1.opus,1544970,あずかる,預かる,,3
00096-1.opus,1348560,あずき,小豆,,
00097-1.opus,1544990,あずける,預ける,,3
00098-1.opus,1213060,あせ,汗,,1
00099-1.opus,1621740,あせかき,汗かき,,2
00100-1.opus,1856430,あせだく,汗だく,,0
00101-1.opus,1213070,あせばむ,汗ばむ,,3
00102-1.opus,1350780,あせる,焦る,,2
00103-1.opus,1542160,あそぶ,遊ぶ,,0
00104-1.opus,1581630,あたい,価,,0
00105-1.opus,1609040,あたいする,値する,,0
00106-1.opus,1544730,あたえる,与える,,0
00107-1.opus,1586420,あたたかい,暖かい,,4
00109-1.opus,1586430,あたたまる,暖まる,,4
00110-1.opus,1586430,あたたまる,温まる,,4
00111-1.opus,1586440,あたためる,暖める,,4
00112-1.opus,1586440,あたためる,温める,,4
00113-1.opus,1582310,あたま,頭,,
00114-1.opus,1361490,あたらしい,新しい,,4
00115-1.opus,1512080,あたり,辺り,,1
00116-1.opus,1448800,あたりまえ,当たり前,,0
00117-1.opus,1448810,あたる,当たる,,0
00118-1.opus,1275320,あつい,厚い,,
00119-1.opus,1343460,あつい,暑い,,2
00120-1.opus,1467720,あつい,熱い,,2
00122-1.opus,1151470,あっか,悪化,する,0
00123-1.opus,1275330,あつかましい,厚かましい,,5
00124-1.opus,1152990,あっかん,圧巻,,0
00125-1.opus,1153080,あっしゅく,圧縮,する,0
00126-1.opus,1153140,あっしょう,圧勝,する,0
00128-1.opus,1153260,あっとう,圧倒,する,0
00129-1.opus,1153270,あっとうてき,圧倒的,な,0
00130-1.opus,1153310,あっぱく,圧迫,する,0
00131-1.opus,1609050,あつまり,集まり,,
00132-1.opus,1333550,あつまる,集まる,,3
00133-1.opus,1333560,あつめる,集める,,3
00134-1.opus,1153340,あつりょく,圧力,,2
00135-1.opus,1334270,あてる,充てる,,0
00136-1.opus,1448860,あてる,当てる,,0
00137-1.opus,1383680,あと,跡,,1
00138-1.opus,1270140,あとあじ,後味,,
00139-1.opus,1697370,あとかた,跡形,,0
00140-1.opus,1269350,あとで,後で,,
00141-1.opus,1254480,あな,穴,,2
00142-1.opus,1583670,あなどる,侮る,,3
00143-1.opus,1249900,あに,兄,,1
00144-1.opus,1307630,あね,姉,,0
00145-1.opus,1612740,あのよ,あの世,,
00146-1.opus,1519330,あばく,暴く,,2
00147-1.opus,1519340,あばれる,暴れる,,0
00148-1.opus,1150050,あびきょうかん,阿鼻叫喚,,
00149-1.opus,1547440,あびせる,浴びせる,,0
00150-1.opus,1547450,あびる,浴びる,,0
00151-1.opus,1218380,あぶない,危ない,,
00152-1.opus,1538590,あぶら,油,,0
00153-1.opus,1311750,あぶら,脂,,0
00154-1.opus,1538630,あぶらえ,油絵,,
00155-1.opus,1538630,あぶらえ,油絵,,
00156-1.opus,1311800,あぶらしょう,脂性,,0
00157-1.opus,1311810,あぶらっこい,脂っこい,,5
00158-1.opus,1311790,あぶらみ,脂身,,
00159-1.opus,5101892,あべ,阿部,,
00160-1.opus,1213400,あまい,甘い,,
00161-1.opus,1213440,あまえる,甘える,,0
00162-1.opus,1171920,あまがえる,雨蛙,,3
00163-1.opus,1171910,あまぐも,雨雲,,0
00164-1.opus,1171910,あまぐも,雨雲,,0
00165-1.opus,1213520,あまざけ,甘酒,,
00166-1.opus,1543860,あます,余す,,2
00167-1.opus,1586640,あまだれ,雨垂れ,,0
00168-1.opus,1172130,あまつぶ,雨粒,,
00169-1.opus,1463400,あまでら,尼寺,,
00170-1.opus,1171970,あまど,雨戸,,2
00171-1.opus,1582020,あまのがわ,天の川,,3
00172-1.opus,1213470,あまやかす,甘やかす,,
00173-1.opus,1172040,あまやどり,雨宿り,,3
00174-1.opus,1543910,あまる,余る,,2
00175-1.opus,1621660,あまんじる,甘んじる,,
00176-1.opus,1586670,あみもの,編み物,,
00177-1.opus,1511950,あむ,編む,,1
00178-1.opus,2848784,あめ,天,,1
00179-1.opus,1171900,あめ,雨,,1
00180-1.opus,1586680,あめあがり,雨上がり,,3
00181-1.opus,1149840,アメリカがっしゅうこく,アメリカ合衆国,,7
00182-1.opus,1218360,あやうい,危うい,,
00183-1.opus,1218370,あやうく,危うく,,
00184-1.opus,1586700,あやしい,怪しい,,
00185-1.opus,1200200,あやしむ,怪しむ,,3
00186-1.opus,1621790,あやつりにんぎょう,操り人形,,5
00187-1.opus,1400010,あやつる,操る,,3
00188-1.opus,1218410,あやぶむ,危ぶむ,,3
00189-1.opus,1196010,あやまち,過ち,,
00190-1.opus,1196020,あやまつ,過つ,,3
00191-1.opus,1271300,あやまる,誤る,,3
00192-1.opus,1323010,あやまる,謝る,,3
00193-1.opus,1514360,あゆむ,歩む,,2
00194-1.opus,1586740,あらあらしい,荒々しい,,5
00195-1.opus,1281450,あらい,荒い,,
00196-1.opus,1390930,あらう,洗う,,0
00197-1.opus,1281480,あらす,荒らす,,0
00198-1.opus,1400620,あらそう,争う,,3
00199-1.opus,1361510,あらた,新た,な,1
00200-1.opus,1200730,あらたまる,改まる,,4
00201-1.opus,1200750,あらためる,改める,,4
00202-1.opus,1281470,あらっぽい,荒っぽい,,
00203-1.opus,1263490,あらわす,現す,,3
00206-1.opus,1263510,あらわれる,表れる,,4
00207-1.opus,1586820,ありがとう,有り難う,,2
00209-1.opus,1296400,ある,在る,,1
00210-1.opus,1296400,ある,有る,,1
00211-1.opus,1514320,あるく,歩く,,2
00212-1.opus,2414380,あれち,荒れ地,,0
00213-1.opus,1281490,あれる,荒れる,,0
00214-1.opus,1284480,あわせる,合わせる,,3
00215-1.opus,1154770,あん,案,,1
00216-1.opus,1153720,あんい,安易,な,
00217-1.opus,1154390,あんうん,暗雲,,0
00218-1.opus,1154820,あんがい,案外,,
00219-1.opus,1153740,あんか,安価,な,1
00220-1.opus,1586910,あんき,暗記,する,0
00221-1.opus,1586910,あんき,暗記,する,0
00222-1.opus,1281900,あんぎゃ,行脚,する,
00223-1.opus,1154430,あんごう,暗号,,0
00224-1.opus,1154430,あんごう,暗号,,0
00226-1.opus,1586920,あんこく,暗黒,,0
00227-1.opus,1154520,あんさつ,暗殺,する,0
00228-1.opus,1154520,あんさつ,暗殺,する,0
00229-1.opus,1154540,あんざん,暗算,,0
00230-1.opus,1154540,あんざん,暗算,,0
00231-1.opus,1154550,あんじ,暗示,する,0
00232-1.opus,1154550,あんじ,暗示,する,0
00233-1.opus,1154560,あんしつ,暗室,,0
00234-1.opus,1154570,あんしょう,暗唱,する,0
00235-1.opus,1154780,あんじる,案じる,,
00235-2.opus,1586940,あんずる,案ずる,,0
00237-1.opus,1153890,あんしん,安心,する,0
00238-1.opus,1153910,あんせい,安静,,0
00240-1.opus,1153930,あんぜん,安全,な,0
00241-1.opus,1586950,あんぜんべん,安全弁,,
00242-1.opus,1154120,あんてい,安定,する,0
00244-1.opus,1154870,あんないがかり,案内係,,5
00245-1.opus,1154860,あんない,案内,する,3
00248-1.opus,1154790,あんのじょう,案の定,,3
00249-1.opus,1586960,あんばい,塩梅,,
00250-1.opus,1154230,あんぴ,安否,,1
00251-1.opus,1154700,あんもく,暗黙,,0
00252-1.opus,1158500,い,胃,,0
00253-1.opus,1848410,いいかける,言い掛ける,,
00254-1.opus,1277440,いいかげん,いい加減,,0
00255-1.opus,1756370,いいのがれ,言い逃れ,,0
00256-1.opus,1587030,いいわけ,言い訳,,0
00257-1.opus,1159730,いいん,医院,,1
00258-1.opus,1156100,いいん,委員,,1
00259-1.opus,1156100,いいん,委員,,1
00260-1.opus,1156110,いいんかい,委員会,,
